iter	Passed	Remaining
0	39	119529
1	56	84701
2	95	95413
3	133	99676
4	169	101291
5	209	104370
6	244	104717
7	280	105069
8	319	106158
9	356	106642
10	394	107218
11	422	105230
12	458	105315
13	496	105999
14	539	107423
15	578	107848
16	620	108904
17	635	105242
18	669	105033
19	703	104754
20	736	104524
21	754	102133
22	787	101922
23	823	102059
24	840	100072
25	874	99981
26	911	100349
27	951	101043
28	994	101878
29	1036	102581
30	1077	103177
31	1117	103677
32	1159	104264
33	1195	104258
34	1208	102373
35	1231	101429
36	1259	100845
37	1297	101119
38	1333	101280
39	1359	100575
40	1394	100656
41	1430	100756
42	1465	100808
43	1502	100953
44	1538	101006
45	1575	101185
46	1615	101475
47	1660	102106
48	1675	100900
49	1704	100542
50	1739	100600
51	1774	100589
52	1807	100518
53	1831	99932
54	1866	99930
55	1900	99896
56	1925	99417
57	1958	99349
58	2000	99741
59	2039	99954
60	2080	100254
61	2121	100537
62	2162	100828
63	2271	104188
64	2316	104608
65	2327	103464
66	2376	104043
67	2417	104251
68	2441	103710
69	2457	102853
70	2500	103135
71	2543	103455
72	2585	103662
73	2625	103812
74	2663	103857
75	2701	103938
76	2737	103917
77	2755	103233
78	2790	103166
79	2800	102216
80	2834	102130
81	2866	102001
82	2879	101206
83	2913	101136
84	2938	100758
85	2975	100805
86	3008	100724
87	3043	100709
88	3078	100688
89	3112	100640
90	3146	100589
91	3182	100580
92	3195	99892
93	3228	99822
94	3262	99751
95	3285	99401
96	3303	98863
97	3336	98810
98	3371	98801
99	3418	99150
100	3439	98727
101	3478	98831
102	3514	98850
103	3548	98814
104	3566	98325
105	3590	98023
106	3603	97435
107	3638	97422
108	3651	96855
109	3670	96424
110	3704	96411
111	3719	95897
112	3753	95887
113	3772	95492
114	3808	95541
115	3842	95537
116	3867	95289
117	3900	95269
118	3935	95277
119	3976	95440
120	4002	95228
121	4041	95336
122	4056	94881
123	4066	94315
124	4101	94335
125	4136	94341
126	4145	93772
127	4155	93237
128	4180	93045
129	4215	93072
130	4249	93066
131	4283	93079
132	4319	93113
133	4334	92716
134	4370	92756
135	4409	92865
136	4454	93081
137	4492	93177
138	4525	93150
139	4559	93142
140	4592	93122
141	4626	93111
142	4659	93097
143	4685	92920
144	4718	92914
145	4728	92441
146	4741	92028
147	4755	91636
148	4788	91631
149	4814	91481
150	4840	91322
151	4854	90964
152	4889	90986
153	4926	91040
154	4960	91040
155	4991	90998
156	5026	91030
157	5050	90846
158	5088	90919
159	5123	90941
160	5161	91022
161	5172	90620
162	5182	90207
163	5216	90213
164	5234	89932
165	5257	89754
166	5289	89735
167	5324	89750
168	5358	89761
169	5393	89786
170	5439	89988
171	5480	90115
172	5511	90068
173	5552	90179
174	5569	89915
175	5599	89845
176	5639	89949
177	5682	90084
178	5692	89705
179	5709	89446
180	5732	89273
181	5765	89275
182	5799	89267
183	5813	88966
184	5822	88598
185	5832	88237
186	5865	88236
187	5875	87880
188	5909	87888
189	5941	87875
190	5975	87882
191	5994	87668
192	6019	87551
193	6037	87322
194	6070	87321
195	6104	87332
196	6138	87346
197	6149	87031
198	6177	86951
199	6187	86631
200	6225	86693
201	6265	86784
202	6276	86475
203	6314	86546
204	6326	86259
205	6362	86301
206	6402	86383
207	6443	86494
208	6484	86590
209	6498	86342
210	6540	86457
211	6581	86546
212	6619	86612
213	6638	86421
214	6674	86459
215	6688	86210
216	6713	86105
217	6729	85872
218	6767	85939
219	6803	85975
220	6838	85996
221	6856	85803
222	6875	85614
223	6908	85617
224	6922	85373
225	6954	85365
226	6990	85391
227	7033	85510
228	7047	85276
229	7060	85032
230	7073	84790
231	7107	84801
232	7143	84836
233	7178	84857
234	7188	84584
235	7222	84585
236	7235	84353
237	7249	84126
238	7262	83899
239	7297	83923
240	7307	83656
241	7325	83488
242	7358	83486
243	7391	83489
244	7426	83507
245	7462	83547
246	7510	83707
247	7551	83802
248	7586	83820
249	7620	83824
250	7655	83843
251	7672	83668
252	7682	83412
253	7695	83191
254	7728	83189
255	7741	82982
256	7759	82813
257	7782	82711
258	7795	82501
259	7829	82513
260	7843	82306
261	7877	82325
262	7895	82172
263	7929	82182
264	7963	82190
265	7998	82208
266	8045	82351
267	8059	82153
268	8092	82154
269	8125	82162
270	8139	81963
271	8179	82036
272	8189	81801
273	8221	81796
274	8256	81817
275	8282	81746
276	8319	81781
277	8354	81799
278	8387	81799
279	8421	81805
280	8455	81816
281	8494	81870
282	8531	81910
283	8574	82003
284	8585	81784
285	8619	81791
286	8652	81796
287	8670	81649
288	8705	81661
289	8738	81658
290	8752	81477
291	8787	81495
292	8822	81511
293	8857	81522
294	8892	81535
295	8925	81538
296	8959	81540
297	8992	81533
298	9025	81530
299	9039	81355
300	9085	81464
301	9102	81322
302	9139	81349
303	9172	81348
304	9205	81338
305	9218	81162
306	9253	81171
307	9287	81174
308	9312	81096
309	9346	81107
310	9380	81105
311	9413	81104
312	9447	81106
313	9484	81129
314	9526	81198
315	9566	81257
316	9603	81283
317	9638	81290
318	9673	81298
319	9706	81291
320	9740	81293
321	9773	81282
322	9809	81299
323	9842	81288
324	9875	81283
325	9909	81279
326	9943	81281
