id,approval_amount,recommendation,redeem_ts,contacted,email_contacted_ts,sms_contacted_ts,birth_dt,state,city,zip_code,rent_or_own,months_at_current_residence,years_at_current_residence,direct_deposit,black_listed,language_preference,military_applicant,payment_frequency,scheduled_payment_amt,past_due_amt,account_payment_method,collections_category,days_past_due,number_of_payments,amount_financed,data_correction,merchant_id,source,initial_decision,last_payment_amount
503603788,250.00,APPROVE,2019-01-24 09:50:41.115000,false,,2019-01-24 09:36:27.784000,1988-05-21,CO,Aurora,80012,RENT,1,2,true,false,EN,false,WEEKLY,18.84,0.00,MANUAL,,0,52,,false,14206566,MERCHANT,APPROVED,70.34
399999590,80.00,APPROVE,2019-01-24 17:34:47.768000,false,2019-01-24 12:16:54.626000,,1998-01-13,TX,Weatherford,76086,RENT,0,1,true,false,EN,false,BI_WEEKLY,32.88,0.00,MANUAL,,0,26,0.00000,false,107313386,INTERNET,APPROVED,
330633304,956.00,APPROVE,2019-01-24 18:18:53.120000,false,2019-01-24 13:17:29.359000,2019-01-24 13:15:59.087000,1975-12-09,WA,Othello,99344,RENT,0,1,false,false,ES,false,MONTHLY,423.50,0.00,MANUAL,,0,12,0.00000,false,230266536,MERCHANT,APPROVED,
422247835,9.00,APPROVE,2019-01-24 18:36:06.694000,false,,2019-01-24 13:19:17.988000,1985-09-09,CA,Imperial,92251,RENT,11,0,false,false,EN,false,BI_WEEKLY,18.15,0.00,MANUAL,,0,26,0.00000,false,332752404,MERCHANT,APPROVED,
427183074,250.00,APPROVE,2019-01-25 08:47:49.726000,false,2019-01-24 09:08:46.690000,2019-01-24 09:08:20.447000,1980-11-23,OH,Cleveland,44105,RENT,0,6,true,false,EN,false,BI_WEEKLY,87.73,0.00,MANUAL,,0,26,0.00000,false,358414568,MERCHANT,APPROVED,
511253213,88.00,APPROVE,2019-01-28 18:11:53.555000,false,2019-01-24 13:25:01.284000,2019-01-24 13:20:48.719000,1983-08-17,CA,West Covina,91791,RENT,5,4,true,false,EN,false,BI_WEEKLY,14.70,0.00,MANUAL,,0,26,,false,352441932,MERCHANT,APPROVED,67.75
459828868,501.00,APPROVE,2019-01-28 19:13:48.590000,false,2019-01-24 11:51:36.679000,2019-01-24 11:46:42.123000,1962-03-14,TX,Hockley,77447,OWN,0,6,true,false,EN,false,BI_WEEKLY,75.47,0.00,MANUAL,,0,26,,false,135091305,MERCHANT,APPROVED,
582413757,693.00,APPROVE,2019-01-28 19:26:50.828000,false,2019-01-25 09:17:56.993000,,1992-07-02,CA,El Cajon,92020,RENT,8,0,true,false,EN,false,WEEKLY,47.46,0.00,MANUAL,,0,52,,false,67466698,INTERNET,APPROVED,71.38
421826850,459.00,APPROVE,2019-01-25 09:19:08.759000,false,2019-01-24 12:19:55.639000,2019-01-24 12:14:40.428000,1983-11-13,PA,Philadelphia,19122,RENT,5,1,true,false,EN,false,BI_WEEKLY,61.87,0.00,MANUAL,,0,26,0.00000,false,373316616,MERCHANT,APPROVED,
537236832,273.00,APPROVE,2019-01-24 10:45:27.755000,false,2019-01-24 10:16:56.636000,2019-01-24 10:13:03.726000,1967-07-06,PA,Allentown,18102,RENT,0,1,true,false,EN,false,MONTHLY_WEEK,85.30,0.00,MANUAL,,0,12,,false,376517655,SNAP_FINANCE_COM,APPROVED,78.25
