id,approval_amount,recommendation,redeem_ts,contacted,email_contacted_ts,sms_contacted_ts,birth_dt,state,city,zip_code,rent_or_own,months_at_current_residence,years_at_current_residence,direct_deposit,black_listed,language_preference,military_applicant,payment_frequency,scheduled_payment_amt,past_due_amt,account_payment_method,collections_category,days_past_due,number_of_payments,amount_financed,data_correction,merchant_id,source,initial_decision,last_payment_amount
526819973,806.00,APPROVE,,false,,,1987-10-19,MO,Saint Louis,63138,OWN,0,6,true,false,EN,false,BI_WEEKLY,130.33,0.00,MANUAL,QUEUE_RECOVERY,0,26,,false,407665601,MERCHANT,APPROVED,118.40
407092124,193.00,APPROVE,,false,2019-01-24 11:17:06.344000,2019-03-16 13:47:18.681000,1978-07-03,NY,Yonkers,10701,RENT,4,3,true,false,EN,false,BI_WEEKLY,108.34,0.00,MANUAL,QUEUE_RECOVERY,0,26,0.00000,false,328532975,SNAP_FINANCE_COM,APPROVED,
522068830,235.00,APPROVE,,false,2019-02-19 10:29:41.798620,2019-05-13 10:11:31.402366,1987-04-01,NY,West Nyack,10994,OWN,0,1,true,false,EN,false,MONTHLY,160.46,0.00,ACH,,0,26,,false,490231117,MERCHANT,APPROVED,155.70
535533020,255.00,APPROVE,,false,2019-01-25 09:14:39.293734,2019-03-16 14:36:06.715779,1977-05-05,NC,Cleveland,27013,OWN,11,6,false,false,EN,false,BI_WEEKLY,31.15,0.00,MANUAL,QUEUE_RECOVERY,0,26,,false,476028159,MERCHANT,APPROVED,58.35
338417178,688.00,APPROVE,,false,2019-01-30 09:04:42.028296,2019-04-23 14:43:08.532671,1977-02-20,KY,Louisville,40213,RENT,0,2,true,false,EN,false,BI_WEEKLY,89.70,0.00,MANUAL,QUEUE_RECOVERY,0,26,0.00000,false,19846425,MERCHANT,APPROVED,
25813800,802.00,APPROVE,,false,2019-01-28 11:29:02.037984,,1974-09-23,TX,Houston,77039,RENT,0,6,true,false,EN,false,BI_WEEKLY,99.51,0.00,MANUAL,QUEUE_RECOVERY,0,26,0.00000,false,7775098,MERCHANT,APPROVED,
377233254,523.00,APPROVE,,false,2019-01-30 14:34:11.286062,,1977-04-12,LA,Baton Rouge,70805,RENT,2,2,false,false,EN,false,MONTHLY,276.38,0.00,MANUAL,QUEUE_RECOVERY,0,52,0.00000,false,279667016,MERCHANT,APPROVED,
541617372,330.00,APPROVE,,false,2019-01-24 12:48:44.903880,2019-04-16 12:35:24.487918,1994-03-04,GA,Atlanta,30318,OWN,0,6,true,false,EN,false,BI_WEEKLY,49.03,0.00,MANUAL,QUEUE_RECOVERY,0,26,,false,15875663,SHORT_CODE,APPROVED,139.45
345307679,303.00,APPROVE,,false,2019-01-30 12:13:20.490516,,1988-03-16,FL,Hialeah,33012,RENT,0,6,true,false,EN,false,BI_WEEKLY,58.85,0.00,MANUAL,QUEUE_RECOVERY,0,26,0.00000,false,52654522,MERCHANT,APPROVED,
783695929,527.00,APPROVE,,false,2019-08-14 12:34:11.530504,2019-08-14 12:34:11.730467,1993-02-01,GA,Morrow,30260,RENT,8,1,true,false,EN,false,WEEKLY,35.83,551.75,MANUAL,QUEUE_90_DAY,111,52,,false,218393,MERCHANT,APPROVED,74.90
