approval_amount,contacted,email_contacted_ts,sms_contacted_ts,rent_or_own,months_at_current_residence,years_at_current_residence,direct_deposit,black_listed,language_preference,military_applicant,scheduled_payment_amt,number_of_payments,initial_decision,age
250.0,False,False,True,RENT,1,2,True,False,EN,False,18.84,52,APPROVED,31.0
80.0,False,True,False,RENT,0,1,True,False,EN,False,32.88,26,APPROVED,21.0
956.0,False,True,True,RENT,0,1,False,False,ES,False,423.5,12,APPROVED,43.0
9.0,False,False,True,RENT,11,0,False,False,EN,False,18.15,26,APPROVED,33.0
250.0,False,True,True,RENT,0,6,True,False,EN,False,87.73,26,APPROVED,38.0
88.0,False,True,True,RENT,5,4,True,False,EN,False,14.7,26,APPROVED,36.0
501.0,False,True,True,OWN,0,6,True,False,EN,False,75.47,26,APPROVED,57.0
693.0,False,True,False,RENT,8,0,True,False,EN,False,47.46,52,APPROVED,27.0
459.0,False,True,True,RENT,5,1,True,False,EN,False,61.87,26,APPROVED,35.0
273.0,False,True,True,RENT,0,1,True,False,EN,False,85.3,12,APPROVED,52.0
639.0,False,True,False,OWN,0,6,True,False,EN,False,82.92,52,APPROVED,49.0
235.0,False,True,True,OWN,8,6,True,False,EN,False,16.0,52,APPROVED,34.0
581.0,False,True,False,OWN,1,12,True,False,EN,False,80.89,26,APPROVED,30.0
693.0,False,True,True,RENT,0,2,True,False,EN,False,109.93,24,APPROVED,30.0
325.0,False,True,True,RENT,0,6,True,False,EN,False,24.5,52,APPROVED,27.0
773.0,False,True,False,OWN,0,6,False,False,EN,False,48.37,52,APPROVED,25.0
113.0,False,True,True,RENT,0,3,True,False,EN,False,24.74,26,APPROVED,46.0
90.0,False,True,True,OWN,0,6,True,False,EN,False,119.84,24,APPROVED,24.0
139.0,False,True,True,RENT,4,5,True,False,EN,False,43.32,52,APPROVED,36.0
132.0,False,False,True,OWN,0,28,True,False,EN,False,112.48,26,APPROVED,74.0
94.0,False,True,False,RENT,0,3,True,False,EN,False,107.12,26,APPROVED,40.0
